행정구역,시군구,도서관수,장서수,2025년06월_계_총인구수,도서관 개당 인구수
강원,강릉시,18,580837,206904.0,11494.666666666666
강원,고성군,13,179227,26812.0,2062.4615384615386
강원,동해시,24,497645,86854.0,3618.9166666666665
강원,삼척시,14,379608,61311.0,4379.357142857143
강원,속초시,10,319419,80101.0,8010.1
강원,양구군,8,97059,20472.0,2559.0
강원,양양군,5,79473,27322.0,5464.4
강원,영월군,10,243328,36361.0,3636.1
강원,원주시,67,1108112,362405.0,5409.0298507462685
강원,인제군,17,185169,31005.0,1823.8235294117646
강원,정선군,19,180300,33346.0,1755.0526315789473
강원,철원군,6,230235,39996.0,6666.0
강원,춘천시,29,975224,285375.0,9840.51724137931
강원,태백시,16,308219,37556.0,2347.25
강원,평창군,12,295527,39963.0,3330.25
강원,홍천군,11,252556,66412.0,6037.454545454545
강원,화천군,3,86177,22550.0,7516.666666666667
강원,횡성군,13,283025,45870.0,3528.4615384615386
경기,가평군,14,411900,62177.0,4441.214285714285
경기,고양시,101,2695778,1063175.0,10526.485148514852
경기,과천시,6,589985,81981.0,13663.5
경기,광명시,50,1177551,286090.0,5721.8
경기,광주시,33,1063216,397310.0,12039.69696969697
경기,구리시,22,777485,186525.0,8478.40909090909
경기,군포시,42,1268776,253253.0,6029.833333333333
경기,김포시,47,1400452,485070.0,10320.63829787234
경기,남양주시,72,1852674,730245.0,10142.291666666666
경기,동두천시,7,391451,86950.0,12421.42857142857
경기,부천시,96,2710582,763599.0,7954.15625
경기,성남시,122,3440663,909210.0,7452.540983606557
경기,수원시,165,4967172,1191063.0,7218.563636363637
경기,시흥시,111,1534172,515106.0,4640.594594594595
경기,안산시,84,2015884,615689.0,7329.630952380952
경기,안성시,22,1064951,195797.0,8899.863636363636
경기,안양시,76,1977555,563546.0,7415.078947368421
경기,양주시,55,1001654,292688.0,5321.6
경기,양평군,24,533754,126873.0,5286.375
경기,여주시,20,606522,114304.0,5715.2
경기,연천군,14,262257,41063.0,2933.0714285714284
경기,오산시,33,774388,246976.0,7484.121212121212
경기,용인시,149,3546689,1091797.0,7327.496644295302
경기,의왕시,37,771667,155343.0,4198.459459459459
경기,의정부시,49,914625,461706.0,9422.57142857143
경기,이천시,26,740933,223352.0,8590.461538461539
경기,파주시,82,1696933,519010.0,6329.390243902439
경기,평택시,76,1548983,602442.0,7926.868421052632
경기,포천시,27,597996,141167.0,5228.407407407408
경기,하남시,67,1029154,328214.0,4898.7164179104475
경기,화성시,216,3330913,979683.0,4535.569444444444
경남,거제시,26,558230,231887.0,8918.73076923077
경남,거창군,14,222803,59360.0,4240.0
경남,고성군,9,182787,47511.0,5279.0
경남,김해시,73,1694857,532477.0,7294.2054794520545
경남,남해군,8,179559,39431.0,4928.875
경남,밀양시,22,438405,99956.0,4543.454545454545
경남,사천시,27,394870,108036.0,4001.3333333333335
경남,산청군,10,171540,33086.0,3308.6
경남,양산시,71,1261173,360300.0,5074.647887323944
경남,의령군,6,96347,24854.0,4142.333333333333
경남,진주시,71,1089731,337529.0,4753.929577464789
경남,창녕군,8,280762,55377.0,6922.125
경남,창원시,125,4305775,994887.0,7959.096
